movie_title,rating,user_rating,genres,plot_keyword,director,top_5_casts,writer,votes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Horrible Bosses 2,6.3,171K,"['Comedy', 'Crime']","['scantily clad female', 'cleavage', 'blonde', 'scene during end credits', 'voyeurism', 'sex tape', 'singing in a car', 'voyeur', 'sex addict']",Sean Anders,"['John Morris', 'Jonathan Goldstein', 'Jason Bateman', 'Jason Sudeikis', 'Charlie Day']",Sean Anders,171000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Steal a Million,7.5,27K,"['Comedy', 'Crime', 'Romance']","['museum', 'police', 'burglar', 'forgery', 'heist', 'painting']",William Wyler,"['Harry Kurnitz', 'Audrey Hepburn', ""Peter O'Toole"", 'Eli Wallach', 'William Wyler']",George Bradshaw,27000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Naked Gun 33 1/3: The Final Insult,6.5,104K,"['Comedy', 'Crime']","['police', 'male protagonist', 'absurd comedy', 'parody', 'sexual humor', 'prison', 'spoof', 'slapstick comedy', 'neo screwball comedy']",Peter Segal,"['David Zucker', 'Robert LoCash', 'Leslie Nielsen', 'Priscilla Presley', 'George Kennedy']",Pat Proft,104000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intolerable Cruelty,6.3,97K,"['Comedy', 'Crime', 'Romance']","['divorce', 'woman wears eyeglasses', 'priest', 'strong female character', 'neo screwball comedy', 'deception', 'man wears eyeglasses']",Joel Coen,"['Robert Ramsey', 'Matthew Stone', 'John Romano', 'George Clooney', 'Catherine Zeta-Jones']",Ethan Coen,97000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Half Baked,6.6,63K,"['Comedy', 'Crime']","['shower room', 'bare butt', 'two word title', 'nudity', 'male rear nudity']",Tamra Davis,"['Neal Brennan', 'Dave Chappelle', 'Guillermo Díaz', 'Jim Breuer', 'Tamra Davis']",Dave Chappelle,63000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.5,55K,"['Comedy', 'Crime']","['african american', 'parody', 'ghetto', 'cult film', 'hood', 'breaking the fourth wall', 'drive by shooting', 'black comedy']",Paris Barclay,"['Marlon Wayans', 'Phil Beauman', 'Shawn Wayans', 'Marlon Wayans', 'Keenen Ivory Wayans']",Shawn Wayans,55000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fun with Dick and Jane,6.1,145K,"['Comedy', 'Crime']","['ceo', 'unemployment', 'suburb', 'animal abuse', 'heist']",Dean Parisot,"['Nicholas Stoller', 'Gerald Gaiser', 'Jim Carrey', 'Téa Leoni', 'Alec Baldwin']",Judd Apatow,145000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analyze This,6.7,153K,"['Comedy', 'Crime']","['scantily clad female', 'lingerie', 'stupidity', 'mobster', 'hitman', 'sex scene', 'mob boss', 'rivalry']",Harold Ramis,"['Peter Tolan', 'Harold Ramis', 'Robert De Niro', 'Billy Crystal', 'Lisa Kudrow']",Kenneth Lonergan,153000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenomena,6.7,26K,"['Crime', 'Horror', 'Mystery']","['insect', 'surrealism', 'telepathy', 'cult film', 'slasher']",Dario Argento,"['Franco Ferrini', 'Jennifer Connelly', 'Donald Pleasence', 'Daria Nicolodi', 'Dario Argento']",Dario Argento,26000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ace Ventura: When Nature Calls,6.4,215K,"['Adventure', 'Comedy', 'Crime']","['cult favorite', 'fictional country', 'kidnapping', 'five word title', 'slapstick comedy', 'princess', 'caught masturbating']",Steve Oedekerk,"['Steve Oedekerk', 'Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Steve Oedekerk']",Jack Bernstein,215000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pink Panther,7.1,52K,"['Comedy', 'Crime', 'Romance']","['diamond', 'slapstick comedy', 'animal in title']",Blake Edwards,"['Blake Edwards', 'David Niven', 'Peter Sellers', 'Robert Wagner', 'Blake Edwards']",Maurice Richlin,52000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Maltese Falcon,8.0,157K,"['Crime', 'Film-Noir', 'Mystery']","['private detective', 'directorial debut', 'murder', 'knocked unconscious', 'murderess']",John Huston,"['Dashiell Hammett', 'Humphrey Bogart', 'Mary Astor', 'Gladys George', 'John Huston']",John Huston,157000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"See No Evil, Hear No Evil",6.8,54K,"['Comedy', 'Crime']","['female frontal nudity', 'witness', 'six word title', 'suspect', 'blind man', 'murder', 'breast']",Arthur Hiller,"['Arne Sultan', 'Marvin Worth', 'Richard Pryor', 'Gene Wilder', 'Joan Severance']",Earl Barret,54000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Whole Nine Yards,6.7,120K,"['Comedy', 'Crime']","['female frontal nudity', 'dentist', 'blonde', 'marriage problems', 'adultery', 'undercover cop', 'hitman', 'sex in bed', 'lust']",Jonathan Lynn,"['Bruce Willis', 'Matthew Perry', 'Rosanna Arquette', 'Jonathan Lynn', 'Mitchell Kapner']",Mitchell Kapner,120000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirty Rotten Scoundrels,7.4,71K,"['Comedy', 'Crime']","['gigolo', 'wheelchair', 'competition', 'farce', 'rivalry', 'remake', 'bet', 'con artist']",Frank Oz,"['Stanley Shapiro', 'Paul Henning', 'Steve Martin', 'Michael Caine', 'Glenne Headly']",Dale Launer,71000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbreakers,6.2,54K,"['Comedy', 'Crime', 'Romance']","['dead body in a car trunk', 'sex comedy', 'revolver', 'femme fatale']",David Mirkin,"['Paul Guay', 'Stephen Mazur', 'Sigourney Weaver', 'Jennifer Love Hewitt', 'Gene Hackman']",Robert Dunn,54000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Badhaai Do,7.1,16K,"['Comedy', 'Crime']","['lesbian', 'gay', 'marriage']",Harshavardhan Kulkarni,"['Akshat Ghildial', 'Harshavardhan Kulkarni', 'Rajkummar Rao', 'Bhumi Pednekar', 'Apeksha Porwal']",Suman Adhikary,16000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Naked Gun 2½: The Smell of Fear,6.9,113K,"['Comedy', 'Crime']","['wheelchair', 'slapstick comedy', 'spoof', 'gagged', 'sequel', 'president', 'bound and gagged']",David Zucker,"['David Zucker', 'Jerry Zucker', 'Leslie Nielsen', 'Priscilla Presley', 'George Kennedy']",Jim Abrahams,113000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beavis and Butt-Head Do America,6.8,56K,"['Animation', 'Adventure', 'Comedy']","['airplane', 'las vegas nevada', 'adult animation', 'road movie', 'elderly woman', 'old woman', 'desert', 'violence', 'country name in title']",Mike Judge,"['Brian Mulroney', 'Mike Judge', 'Joe Stillman', 'Brian Mulroney', 'Mike Judge']",Mike de Seve,56000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mexican,6.1,108K,"['Adventure', 'Comedy', 'Crime']","['cigarette', 'thief', 'dreamworks', 'dog', 'dead body in a car trunk', 'murder', 'revenge', 'hostage']",Gore Verbinski,"['Brad Pitt', 'Julia Roberts', 'James Gandolfini', 'Gore Verbinski', 'J.H. Wyman']",J.H. Wyman,108000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanboys,6.5,59K,"['Adventure', 'Comedy', 'Crime']","['forced to strip', 'bare chested male', 'blonde', 'road trip', 'prostitute']",Kyle Newman,"['Adam F. Goldberg', 'Dan Pulick', 'Dan Fogler', 'Jay Baruchel', 'Kristen Bell']",Ernest Cline,59000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stir Crazy,6.7,28K,"['Comedy', 'Crime']","['jail cell', 'jail', 'convict', 'wrongful conviction', 'prison', 'bank', 'injustice']",Sidney Poitier,"['Charles Blackwell', 'Gene Wilder', 'Richard Pryor', 'Georg Stanford Brown', 'Sidney Poitier']",Bruce Jay Friedman,28000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
