movie_title,rating,user_rating,genres,plot_keyword,director,top_5_casts,writer,votes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Top Gun: Maverick,8.6,187K,"['Action', 'Drama']","['aviation', 'pilot', 'u.s. navy', 'sequel']",Joseph Kosinski,"['Jack Epps Jr.', 'Peter Craig', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Jim Cash,187000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World Dominion,6.0,56K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'dinosaur', 'tyrannosaurus rex', 'sequel']",Colin Trevorrow,"['Colin Trevorrow', 'Derek Connolly', 'Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Emily Carmichael,56000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Top Gun,6.9,380K,"['Action', 'Drama']","['pilot', 'u.s. navy', 'rivalry']",Tony Scott,"['Jack Epps Jr.', 'Ehud Yonay', 'Tom Cruise', 'Tim Robbins', 'Kelly McGillis']",Jim Cash,380000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything Everywhere All at Once,8.3,124K,"['Action', 'Adventure', 'Comedy']","['nihilism', 'lgbt', 'multiverse', 'husband wife relationship', 'chinese', 'immigrant', 'mother daughter relationship']",Dan Kwan,"['Dan Kwan', 'Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",Daniel Scheinert,124000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Northman,7.2,128K,"['Action', 'Adventure', 'Drama']","['viking', 'female frontal nudity', 'female full frontal nudity', 'king', 'female pubic hair']",Robert Eggers,"['Robert Eggers', 'Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Robert Eggers']",Sjón,128000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts: The Secrets of Dumbledore,6.2,100K,"['Action', 'Adventure', 'Fantasy']","['wizard', 'magic', 'lgbt', 'younger version of character', 'dark', 'killing an animal', 'based on novel']",David Yates,"['Steve Kloves', 'Eddie Redmayne', 'Jude Law', 'Ezra Miller', 'David Yates']",J.K. Rowling,100000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Unbearable Weight of Massive Talent,7.1,43K,"['Action', 'Comedy', 'Crime']","['bare chested male', 'american abroad', 'hero', 'black comedy']",Tom Gormican,"['Kevin Etten', 'Nicolas Cage', 'Pedro Pascal', 'Tiffany Haddish', 'Tom Gormican']",Tom Gormican,43000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic Park,8.2,958K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'dinosaur', 'scientist', 'tyrannosaurus rex', 'national film registry', 'creature feature']",Steven Spielberg,"['David Koepp', 'Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Steven Spielberg']",Michael Crichton,958000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Doctor Strange in the Multiverse of Madness,7.2,236K,"['Action', 'Adventure', 'Fantasy']","['multiverse', 'based on comic', 'lovecraftian', 'superhero', 'marvel comics', 'sequel', 'second part']",Sam Raimi,"['Stan Lee', 'Steve Ditko', 'Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']",Michael Waldron,236000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No Time to Die,7.3,367K,"['Action', 'Adventure', 'Thriller']","['007', 'spy', 'shooting', 'official james bond series', 'espionage', 'secret agent', 'poison', 'james bond character']",Cary Joji Fukunaga,"['Robert Wade', 'Cary Joji Fukunaga', 'Daniel Craig', 'Ana de Armas', 'Rami Malek']",Neal Purvis,367000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Batman,7.9,521K,"['Action', 'Crime', 'Drama']","['bruce wayne character', 'based on comic', 'batman character', 'superhero', 'dc comics']",Matt Reeves,"['Peter Craig', 'Bill Finger', 'Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Matt Reeves,521000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World,6.9,629K,"['Action', 'Adventure', 'Sci-Fi']","['experiment gone wrong', 'jurassic park', 'pig', 'dinosaur', 'helicopter crash', 'disaster film', 'island']",Colin Trevorrow,"['Amanda Silver', 'Colin Trevorrow', 'Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']",Rick Jaffa,629000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jurassic World: Fallen Kingdom,6.1,306K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'blockbuster', 'dinosaur', 'tyrannosaurus rex', 'clone', 'sequel', 'island', 'creature feature']",J.A. Bayona,"['Colin Trevorrow', 'Michael Crichton', 'Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']",Derek Connolly,306000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vikram,8.8,24K,"['Action', 'Thriller']","['action hero', 'shootout', 'entertainer', 'investigator', 'violence']",Lokesh Kanagaraj,"['Rathna Kumar', 'Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Lokesh Kanagaraj']",Lokesh Kanagaraj,24000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Lost City,6.2,70K,"['Action', 'Adventure', 'Comedy']","['writer', 'kidnapping', 'novelist', 'model', 'jungle']",Aaron Nee,"['Oren Uziel', 'Dana Fox', 'Adam Nee', 'Sandra Bullock', 'Channing Tatum']",Adam Nee,70000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: No Way Home,8.3,661K,"['Action', 'Adventure', 'Fantasy']","['villain', 'peter parker character', 'multiverse', 'marvel cinematic universe', 'based on comic', 'new york city', 'superhero', 'spider man character']",Jon Watts,"['Erik Sommers', 'Stan Lee', 'Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",Chris McKenna,661000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog 2,6.6,48K,"['Action', 'Adventure', 'Comedy']","['sidekick', 'based on video game', 'anthropomorphic animal', 'sequel']",Jeff Fowler,"['Josh Miller', 'John Whittington', 'James Marsden', 'Jim Carrey', 'Ben Schwartz']",Pat Casey,48000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharted,6.4,137K,"['Action', 'Adventure']","['museum', 'treasure', 'thief', 'action hero', 'based on video game', 'showdown', 'chase', 'hero', 'island']",Ruben Fleischer,"['Art Marcum', 'Matt Holloway', 'Tom Holland', 'Mark Wahlberg', 'Antonio Banderas']",Rafe Judkins,137000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambulance,6.1,49K,"['Action', 'Crime', 'Drama']","['bank robber', 'doctor', 'ambulance', 'money', 'bank', 'heist gone wrong', 'car chase', 'prison', 'robbery', 'remake']",Michael Bay,"['Laurits Munch-Petersen', 'Lars Andreas Pedersen', 'Jake Gyllenhaal', 'Yahya Abdul-Mateen II', 'Eiza González']",Chris Fedak,49000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lost World: Jurassic Park,6.5,411K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'dinosaur', 'tyrannosaurus rex']",Steven Spielberg,"['David Koepp', 'Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Steven Spielberg']",Michael Crichton,411000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dune,8.0,583K,"['Action', 'Adventure', 'Drama']","['mother son relationship', 'doctor', 'mind control', 'combat', 'future', 'dead body', 'massacre']",Denis Villeneuve,"['Denis Villeneuve', 'Eric Roth', 'Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya']",Jon Spaihts,583000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dune,6.3,160K,"['Action', 'Adventure', 'Sci-Fi']","['water', 'space travel']",David Lynch,"['David Lynch', 'Kyle MacLachlan', 'Virginia Madsen', 'Francesca Annis', 'David Lynch']",Frank Herbert,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eternals,6.3,314K,"['Action', 'Adventure', 'Fantasy']","['gay', 'marvel cinematic universe', 'based on comic', 'superhero', 'suicide', 'sex scene', 'title directed by female', 'f rated']",Chloé Zhao,"['Patrick Burleigh', 'Ryan Firpo', 'Gemma Chan', 'Richard Madden', 'Angelina Jolie']",Chloé Zhao,314000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Free Guy,7.1,346K,"['Action', 'Adventure', 'Comedy']","['virtual reality', 'bank robbery', 'artificial intelligence', 'violence']",Shawn Levy,"['Zak Penn', 'Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Shawn Levy']",Matt Lieberman,346000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible,7.1,418K,"['Action', 'Adventure', 'Thriller']","['fugitive', 'ethan hunt character', 'train', 'based on tv series', 'famous score', 'betrayal', 'helicopter', 'murder', 'disguise']",Brian De Palma,"['David Koepp', 'Steven Zaillian', 'Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']",Bruce Geller,418000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star Wars: Episode I - The Phantom Menace,6.5,788K,"['Action', 'Adventure', 'Fantasy']","['slavery', 'prequel', 'star wars']",George Lucas,"['Ewan McGregor', 'Liam Neeson', 'Natalie Portman', 'George Lucas', 'George Lucas']",George Lucas,788000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Adam Project,6.7,176K,"['Action', 'Adventure', 'Comedy']","['escape', 'time travel', 'dog', 'technology', 'future', 'car', 'forest']",Shawn Levy,"['T.S. Nowlin', 'Jennifer Flackett', 'Ryan Reynolds', 'Walker Scobell', 'Mark Ruffalo']",Jonathan Tropper,176000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The King's Man,6.3,131K,"['Action', 'Adventure', 'Thriller']","['spy', 'based on comic', 'prequel', 'marvel comics', 'third part', 'sequel', 'london england', '1910s', 'world war one']",Matthew Vaughn,"['Karl Gajdusek', 'Mark Millar', 'Ralph Fiennes', 'Gemma Arterton', 'Rhys Ifans']",Matthew Vaughn,131000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aquaman,6.8,459K,"['Action', 'Adventure', 'Fantasy']","['ocean', 'mother son relationship', 'king', 'hand to hand combat', 'damsel in distress', 'rescue', 'dc comics', 'based on comic book']",James Wan,"['Will Beall', 'Geoff Johns', 'Jason Momoa', 'Amber Heard', 'Willem Dafoe']",David Leslie Johnson-McGoldrick,459000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Gentlemen,7.8,322K,"['Action', 'Comedy', 'Crime']","['heroin', 'dark comedy', 'gangster', 'drug', 'marijuana', 'blackmail', 'thug', 'british', 'voice over narration']",Guy Ritchie,"['Ivan Atkinson', 'Marn Davies', 'Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery']",Guy Ritchie,322000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible - Fallout,7.7,324K,"['Action', 'Adventure', 'Thriller']","['gun', 'ethan hunt character', 'spy', 'action hero', 'hand to hand combat', 'espionage', 'sequel', 'deception', 'violence', 'cliff']",Christopher McQuarrie,"['Christopher McQuarrie', 'Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Christopher McQuarrie']",Bruce Geller,324000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Samrat Prithviraj,7.6,47K,"['Action', 'Drama', 'History']",['warrior'],Chandra Prakash Dwivedi,"['Akshay Kumar', 'Manushi Chhillar', 'Sanjay Dutt', 'Chandra Prakash Dwivedi', 'Chandra Prakash Dwivedi']",Chandra Prakash Dwivedi,47000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blade Runner 2049,8.0,546K,"['Action', 'Drama', 'Mystery']","['female rear nudity', 'female frontal nudity', 'female full frontal nudity', 'female nudity', 'capitalism', 'nudity', 'sex scene']",Denis Villeneuve,"['Michael Green', 'Philip K. Dick', 'Harrison Ford', 'Ryan Gosling', 'Ana de Armas']",Hampton Fancher,546000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,7.6,772K,"['Action', 'Adventure', 'Fantasy']","['burned alive', 'spaceship', 'star wars', 'adoption', 'hologram']",George Lucas,"['John Ostrander', 'Jan Duursema', 'Hayden Christensen', 'Natalie Portman', 'Ewan McGregor']",George Lucas,772000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Road House,6.6,72K,"['Action', 'Thriller']","['cleavage', 'martial arts', 'rear entry sex', 'stripper', 'nightclub', 'strip club', 'violence']",Rowdy Herrington,"['Hilary Henkin', 'Patrick Swayze', 'Kelly Lynch', 'Sam Elliott', 'Rowdy Herrington']",R. Lance Hill,72000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mission: Impossible - Ghost Protocol,7.4,484K,"['Action', 'Adventure', 'Thriller']","['ethan hunt character', 'woman murders a man', 'murderess', 'hotel room', 'race against time']",Brad Bird,"['Josh Appelbaum', 'André Nemec', 'Tom Cruise', 'Jeremy Renner', 'Simon Pegg']",Bruce Geller,484000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star Wars: Episode IX - The Rise of Skywalker,6.5,435K,"['Action', 'Adventure', 'Fantasy']","['evil', 'interracial relationship', 'supervillain', 'massacre']",J.J. Abrams,"['J.J. Abrams', 'Derek Connolly', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac']",Chris Terrio,435000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Heat,8.3,638K,"['Action', 'Crime', 'Drama']","['criminal investigation', 'gun battle', 'based on true story', 'gunfight', 'murder investigation', 'honor', 'organized crime', 'usa']",Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Michael Mann', 'Michael Mann']",Michael Mann,638000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nobody,7.4,230K,"['Action', 'Crime', 'Drama']","['hospital', 'russian mafia', 'fire', 'home invasion', 'nightclub', 'secret identity', 'one man army', 'violence', 'black comedy']",Ilya Naishuller,"['Bob Odenkirk', 'Aleksey Serebryakov', 'Connie Nielsen', 'Ilya Naishuller', 'Derek Kolstad']",Derek Kolstad,230000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Suicide Squad,7.2,333K,"['Action', 'Adventure', 'Comedy']","['graphic violence', 'giant monster', 'superheroine', 'superhero', 'gore', 'violence']",James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena', 'James Gunn', 'James Gunn']",James Gunn,333000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,8.4,1M,"['Action', 'Adventure', 'Sci-Fi']","['good versus evil', 'marvel cinematic universe', 'superhero', 'supervillain', 'marvel comics', 'ensemble cast']",Anthony Russo,"['Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Robert Downey Jr.', 'Chris Hemsworth']",Joe Russo,1000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thor: Ragnarok,7.9,707K,"['Action', 'Adventure', 'Comedy']","['death', 'marvel cinematic universe', 'action hero', 'superhero', 'marvel comics', 'sequel', 'based on comic book', 'female villain']",Taika Waititi,"['Craig Kyle', 'Christopher L. Yost', 'Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']",Eric Pearson,707000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Duel,7.4,144K,"['Action', 'Drama', 'History']","['husband wife relationship', 'duel', 'medieval times', 'historical drama', 'based on book', 'battle', 'france']",Ridley Scott,"['Ben Affleck', 'Matt Damon', 'Matt Damon', 'Adam Driver', 'Jodie Comer']",Nicole Holofcener,144000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mission: Impossible II,6.1,337K,"['Action', 'Adventure', 'Thriller']","['ethan hunt character', 'airplane', 'time bomb', 'airplane accident', 'mission']",John Woo,"['Ronald D. Moore', 'Brannon Braga', 'Tom Cruise', 'Dougray Scott', 'Thandiwe Newton']",Bruce Geller,337000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wrath of Man,7.1,165K,"['Action', 'Crime', 'Thriller']","['truck', 'police', 'shootout', 'police officer', 'revenge', 'remake']",Guy Ritchie,"['Éric Besnard', 'Guy Ritchie', 'Jason Statham', 'Holt McCallany', 'Josh Hartnett']",Nicolas Boukhrief,165000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,6.5,303K,"['Action', 'Adventure', 'Fantasy']","['ocean', 'sword fight', 'blockbuster', 'british soldier', 'pirate', 'ghost', 'quest', 'swashbuckler']",Joachim Rønning,"['Jeff Nathanson', 'Terry Rossio', 'Ted Elliott', 'Johnny Depp', 'Geoffrey Rush']",Espen Sandberg,303000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode II - Attack of the Clones,6.6,695K,"['Action', 'Adventure', 'Fantasy']","['bounty hunter', 'assassination attempt', 'star wars']",George Lucas,"['Jonathan Hales', 'John Ostrander', 'Hayden Christensen', 'Natalie Portman', 'Ewan McGregor']",George Lucas,695000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog,6.5,133K,"['Action', 'Adventure', 'Comedy']","['villain', 'alien', 'police', 'based on video game', 'drone', 'small town']",Jeff Fowler,"['Josh Miller', 'Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Jeff Fowler']",Pat Casey,133000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,8.3,1M,"['Action', 'Adventure', 'Fantasy']","['villain turns good', 'bounty hunter', 'father son relationship', 'brother sister relationship']",Richard Marquand,"['George Lucas', 'Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Richard Marquand']",Lawrence Kasdan,1000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man,6.9,643K,"['Action', 'Adventure', 'Sci-Fi']","['teenage protagonist', 'spider', 'new york city', 'spider man character', 'peter parker character']",Marc Webb,"['Alvin Sargent', 'Steve Kloves', 'Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",James Vanderbilt,643000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spectre,6.8,434K,"['Action', 'Adventure', 'Thriller']","['kidnapping', 'spy', 'betrayal', 'action hero', 'espionage', 'father daughter estrangement', 'secret society', 'love interest']",Sam Mendes,"['Neal Purvis', 'Robert Wade', 'Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",John Logan,434000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Watchmen,7.6,544K,"['Action', 'Drama', 'Mystery']","['brawl', 'nuclear explosion', 'conspiracy', 'rape', 'female star appears nude', 'false promise of the american dream', 'based on comic book']",Zack Snyder,"['David Hayter', 'Alex Tse', 'Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino']",Dave Gibbons,544000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tenet,7.3,473K,"['Action', 'Adventure', 'Sci-Fi']","['spy', 'car crash', 'time paradox', 'written by director', 'terrorism', 'bearded man', 'espionage', 'swat team', 'car chase']",Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Christopher Nolan', 'Christopher Nolan']",Christopher Nolan,473000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shang-Chi and the Legend of the Ten Rings,7.4,358K,"['Action', 'Adventure', 'Fantasy']","['kung fu', 'martial arts', 'based on comic', 'dragon', 'superhero', 'hand to hand combat', 'shared universe', 'scene during end credits', 'marvel comics']",Destin Daniel Cretton,"['Destin Daniel Cretton', 'Andrew Lanham', 'Simu Liu', 'Awkwafina', 'Tony Chiu-Wai Leung']",Dave Callaham,358000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghostbusters,7.8,407K,"['Action', 'Comedy', 'Fantasy']","['1980s', 'library', 'scientist', 'haunting', 'ghost', 'university']",Ivan Reitman,"['Harold Ramis', 'Rick Moranis', 'Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']",Dan Aykroyd,407000,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hunger Games,7.2,902K,"['Action', 'Adventure', 'Sci-Fi']","['wood', 'game', 'tough girl', 'forest', 'female protagonist']",Gary Ross,"['Suzanne Collins', 'Billy Ray', 'Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Gary Ross,902000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Widow,6.7,356K,"['Action', 'Adventure', 'Sci-Fi']","['spy', 'superheroine', 'marvel cinematic universe', 'based on comic', 'superhero', 'action heroine', 'female assassin', 'marvel comics', 'based on comic book']",Cate Shortland,"['Jac Schaeffer', 'Ned Benson', 'Scarlett Johansson', 'Florence Pugh', 'David Harbour']",Eric Pearson,356000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Willow,7.2,113K,"['Action', 'Adventure', 'Drama']","['magic', 'baby', 'showdown', 'chase', 'prophecy', 'talking animal', 'journey', 'battle']",Ron Howard,"['Bob Dolman', 'Val Kilmer', 'Joanne Whalley', 'Warwick Davis', 'Ron Howard']",George Lucas,113000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence Day,7.0,566K,"['Action', 'Adventure', 'Sci-Fi']","['alien invasion', 'alien contact', 'vomiting', 'product placement', 'exotic dancer']",Roland Emmerich,"['Roland Emmerich', 'Will Smith', 'Bill Pullman', 'Jeff Goldblum', 'Roland Emmerich']",Dean Devlin,566000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mission: Impossible - Rogue Nation,7.4,367K,"['Action', 'Adventure', 'Thriller']","['fugitive', 'spy', 'computer hacker', 'capture', 'mission', 'impostor', 'rogue agent']",Christopher McQuarrie,"['Christopher McQuarrie', 'Drew Pearce', 'Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner']",Bruce Geller,367000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Casino Royale,8.0,648K,"['Action', 'Adventure', 'Thriller']","['poker', 'based on novel', 'infidelity', 'bond girl', 'espionage', 'adultery', 'poker game', 'casino', 'james bond character']",Martin Campbell,"['Robert Wade', 'Paul Haggis', 'Daniel Craig', 'Eva Green', 'Judi Dench']",Neal Purvis,648000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Fifth Element,7.6,467K,"['Action', 'Adventure', 'Sci-Fi']","['alien', 'love', 'race against time', 'weapon', 'taxi driver', 'future']",Luc Besson,"['Robert Mark Kamen', 'Bruce Willis', 'Milla Jovovich', 'Gary Oldman', 'Luc Besson']",Luc Besson,467000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deadpool,8.0,1M,"['Action', 'Adventure', 'Comedy']","['talking to the camera', 'character name in title', 'scene after end credits', 'mercenary', 'breaking the fourth wall', 'sex scene', 'mutant', 'cancer', 'revenge', 'anti hero']",Tim Miller,"['Paul Wernick', 'Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Tim Miller']",Rhett Reese,1000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doctor Strange,7.5,715K,"['Action', 'Adventure', 'Fantasy']","['wizard', 'magic', 'doctor', 'time loop', 'alternate dimension', 'scene during end credits', 'sorcerer']",Scott Derrickson,"['Scott Derrickson', 'C. Robert Cargill', 'Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']",Jon Spaihts,715000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Enola Holmes,6.6,164K,"['Action', 'Adventure', 'Crime']","['sherlock holmes character', 'feminism', 'train', 'amateur detective', 'runaway', 'breaking the fourth wall', 'detective', 'based on novel', 'fight']",Harry Bradbeer,"['Nancy Springer', 'Arthur Conan Doyle', 'Millie Bobby Brown', 'Henry Cavill', 'Sam Claflin']",Jack Thorne,164000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divergent,6.6,454K,"['Action', 'Adventure', 'Mystery']","['narrated by character', 'dystopia', 'army', 'father son relationship', 'based on young adult novel', 'brother sister relationship']",Neil Burger,"['Vanessa Taylor', 'Veronica Roth', 'Shailene Woodley', 'Theo James', 'Kate Winslet']",Evan Daugherty,454000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Accountant,7.3,291K,"['Action', 'Thriller']","['training', 'assassin', 'accountant', 'father', 'money', 'brother brother relationship', 'sniper', 'autism']",Gavin O'Connor,"['Ben Affleck', 'Anna Kendrick', 'J.K. Simmons', ""Gavin O'Connor"", 'Bill Dubuque']",Bill Dubuque,291000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Spider-Man,7.4,799K,"['Action', 'Adventure', 'Sci-Fi']","['tragic event', 'spider', 'evil', 'superhero', 'spider man character', 'peter parker character', 'high school']",Sam Raimi,"['Steve Ditko', 'David Koepp', 'Tobey Maguire', 'Kirsten Dunst', 'Willem Dafoe']",Stan Lee,799000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zack Snyder's Justice League,8.0,381K,"['Action', 'Adventure', 'Fantasy']","['dc extended universe', 'superhero', 'dc comics', 'team', 'ensemble cast']",Zack Snyder,"['Joe Shuster', 'Zack Snyder', 'Henry Cavill', 'Ben Affleck', 'Gal Gadot']",Jerry Siegel,381000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Die Hard,8.2,861K,"['Action', 'Thriller']","['one against many', 'terrorist', 'christmas', 'action hero', 'heist', 'christmas movie', 'los angeles california', 'police officer', 'robbery', 'hostage']",John McTiernan,"['Jeb Stuart', 'Steven E. de Souza', 'Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']",Roderick Thorp,861000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
